Entidad,Partido,Gobernador,Periodo Inicio,Periodo Fin,URL de foto,Twitter
Durango,PRI,Ángel Sergio Guerrero Mier,1998-09-15,2004-09-14,http://www.durangomas.mx/wp-content/uploads/2013/10/%C3%81ngel-Sergio-Guerrero-Mier-195x195.jpeg,
Durango,PRI,Ismael Hernández Deras ,2004-09-15,2010-09-14,https://yt3.ggpht.com/-NEXHgAHKqvg/AAAAAAAAAAI/AAAAAAAAAAA/x8gqfkgSw1o/s900-c-k-no/photo.jpg,
Durango,PRI,Jorge Herrera Caldera ,2010-09-15,,http://profile.ak.fbcdn.net/hprofile-ak-snc4/188055_340819301509_7099441_n.jpg,
Guanajuato,PAN,Carlos Medina Plascencia ,1991-11-03,1995-06-25,http://periodicocorreo.com.mx/wp-content/uploads/2015/05/COLOR-LL-804.jpg,
Guanajuato,PAN,Vicente Fox Quesada ,1995-06-25,1999-08-09,http://laprimeraplana.com.mx/wp-content/uploads/2010/11/Vicente_Fox_2006.jpeg,
Guanajuato,PAN,Ramón Marín Huerta ,1999-08-09,2000-09-25,http://www.winne.com/mexico2/images/StateGuanajuato-Gob.jpg,
Guanajuato,PAN,Juan Carlos Romero Hicks ,2000-09-26,2006-09-25,http://www.pan.senado.gob.mx/wp-content/uploads/2013/07/Romero-Hicks-Juan-Carlos-240x300.jpg,
Guanajuato,PAN,Juan Manuel Oliva Ramírez ,2006-09-26,2012-03-29,https://pbs.twimg.com/profile_images/2111654280/OLIVA1.jpg,
Guanajuato,PAN,Héctor López Santillana ,2012-03-29,2012-09-25,http://el-semanario.net/wp-content/uploads/2013/02/17ES04N1F1-L%C3%B3pez-Santillana.jpg,
Guanajuato,PAN,Miguel Márquez Márquez,2012-09-26,,http://www.elgriton.com.mx/inicio/wp-content/uploads/2013/09/Dolores-Hidalgo.jpg,
Guerrero,PRI,José Francisco Ruiz Massieu ,1987-04-01,1993-03-31,https://tintaguerrerensedotcom.files.wordpress.com/2012/01/ajose.jpeg,
Guerrero,PRI,Rubén Figueroa Alcocer ,1993-04-01,1996-03-12,http://nnc.mx/imagenes/2015/05/1432652067.jpg,
Guerrero,PRI,Ángel Aguirre Rivero ,1996-03-12,1999-03-31,http://image.vanguardia.com.mx/sites/default/files/aguirre-rivero-aun-no-envia-su-licencia-al-congreso_3b472.jpg,
Guerrero,PRI,René Juárez Cisneros ,1993-04-01,2005-03-31,https://pbs.twimg.com/profile_images/564339571/reneJuarezCisneros.jpg,
