ENTIDAD,ACREDITADO 2/,ACREEDOR 3/,TIPO DE OBLIGACIÓN 4/,FECHA DE FIRMA 5/,FECHA DE INSCRIPCIÓN 6/,MONTO ORIGINAL CONTRATADO 7/,SALDO AL 30 DE JUNIO DE 2015 8/,PLAZO PACTADO (MESES) 9/,FUENTE O GARANTÍA DE PAGO 10/,DESTINO 11/
SAN LUIS POTOSÍ,TAMUÍN,BANOBRAS,CRÉDITO SIMPLE,12/29/2011,02/29/2012,36800000,0,120,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
BAJA CALIFORNIA,CONSEJO DE URBANIZACIÓN MUNICIPAL DE MEXICALI,COFIDAN,CRÉDITO SIMPLE,01/19/2012,03/02/2012,150000000,80009280,120,PARTICIPACIONES FEDERALES/INGRESOS PROPIOS,INVERSIÓN PÚBLICA PRODUCTIVA
TAMAULIPAS,GOBIERNO DEL ESTADO,BANOBRAS,CRÉDITO SIMPLE,12/22/2011,03/02/2012,187112637,0,240,PARTICIPACIONES FEDERALES/BONO CUPÓN CERO FEDERAL,INVERSIÓN PÚBLICA PRODUCTIVA
CHIAPAS,TAPACHULA,BANOBRAS,CRÉDITO SIMPLE,02/17/2012,03/09/2012,87000000,69000000,180,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
COLIMA,GOBIERNO DEL ESTADO,BANOBRAS,CRÉDITO SIMPLE,02/29/2012,03/09/2012,280948782,0,240,PARTICIPACIONES FEDERALES/BONO CUPÓN CERO FEDERAL,INVERSIÓN PÚBLICA PRODUCTIVA
SAN LUIS POTOSÍ,GOBIERNO DEL ESTADO,BANOBRAS,CRÉDITO SIMPLE,12/30/2011,03/09/2012,85532257,0,240,PARTICIPACIONES FEDERALES/BONO CUPÓN CERO FEDERAL,INVERSIÓN PÚBLICA PRODUCTIVA
GUANAJUATO,PÉNJAMO,BAJIO,CRÉDITO SIMPLE,02/13/2012,03/21/2012,35000000,16527782,72,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
JALISCO,YAHUALICA DE GONZÁLEZ GALLO,BBVA BANCOMER,CRÉDITO SIMPLE,02/23/2012,03/21/2012,9800000,0,60,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
VERACRUZ,MOLOACAN,BANOBRAS,CRÉDITO SIMPLE,12/30/2011,03/21/2012,3000000,0,36,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
GUANAJUATO,URIANGATO,BANOBRAS,CRÉDITO SIMPLE,03/06/2012,03/26/2012,14947836,6275179.07,60,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
GUANAJUATO,SAN FRANCISCO DEL RINCÓN,BAJIO,CRÉDITO SIMPLE,02/17/2012,03/26/2012,35000000,22529626,180,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
SINALOA,GOBIERNO DEL ESTADO,BANAMEX,CRÉDITO SIMPLE,02/15/2012,04/03/2012,500000000,487037767.78,240,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
SINALOA,GOBIERNO DEL ESTADO,BBVA BANCOMER,CRÉDITO SIMPLE,02/27/2012,04/03/2012,339000000,324984529.85,240,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
GUERRERO,ZIHUATANEJO DE AZUETA,BANOBRAS,CRÉDITO SIMPLE,03/01/2012,04/09/2012,43528728,23250688.81,120,PARTICIPACIONES FEDERALES,REFINANCIAMIENTO
CHIHUAHUA,GOBIERNO DEL ESTADO,BANOBRAS,CRÉDITO SIMPLE,04/03/2012,04/10/2012,1200000000,835555200,240,PARTICIPACIONES FEDERALES/BONO CUPÓN CERO ESTATAL,INVERSIÓN PÚBLICA PRODUCTIVA
SINALOA,GUASAVE,BANOBRAS,CRÉDITO SIMPLE,02/28/2012,04/10/2012,50000000,44623655.9,120,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
BAJA CALIFORNIA,GOBIERNO DEL ESTADO,BBVA BANCOMER,CRÉDITO SIMPLE,03/02/2012,04/11/2012,1156866731,1107521705,240,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
SONORA,BÁCUM,BANOBRAS,CRÉDITO SIMPLE,12/28/2011,04/11/2012,7500000,4375000.15,84,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
SONORA,FONDO ESTATAL PARA LA MODERNIZACIÓN DEL TRANSPORTE,MIFEL,CRÉDITO SIMPLE,03/28/2012,04/11/2012,400000000,269999999.73,120,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
SONORA,BÁCUM,BANOBRAS,CRÉDITO SIMPLE,12/28/2011,04/11/2012,5300000,3297328.34,180,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
JALISCO,ARANDAS,BANOBRAS,CRÉDITO SIMPLE,02/29/2012,04/16/2012,22000000,14982758.71,120,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
CHIAPAS,RAYÓN,BANOBRAS,CRÉDITO SIMPLE,03/21/2012,04/17/2012,7500000,5319614.08,120,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
SONORA,HUATABAMPO,INTERACCIONES,CRÉDITO SIMPLE,02/16/2012,04/17/2012,10000000,0,83,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
CAMPECHE,CARMEN,INTERACCIONES,CRÉDITO SIMPLE,04/09/2012,04/23/2012,200000000,160386404.82,119,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
JALISCO,SAN MIGUEL EL ALTO,BANOBRAS,CRÉDITO SIMPLE,03/15/2012,04/23/2012,6700000,4634166.79,120,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
VERACRUZ,GOBIERNO DEL ESTADO,MULTIVA,CRÉDITO SIMPLE,04/26/2012,04/26/2012,1500000000,1366038000,240,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
CAMPECHE,GOBIERNO DEL ESTADO,BANOBRAS,CRÉDITO SIMPLE,03/23/2012,05/09/2012,83449015,0,240,PARTICIPACIONES FEDERALES/BONO CUPÓN CERO FEDERAL,INVERSIÓN PÚBLICA PRODUCTIVA
NAYARIT,GOBIERNO DEL ESTADO,BANSI,CRÉDITO SIMPLE,05/11/2012,05/11/2012,200000000,194218755.2762,240,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
JALISCO,EL ARENAL,BBVA BANCOMER,CRÉDITO SIMPLE,04/26/2012,05/14/2012,6000000,0,60,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
HIDALGO,INSTITUTO PARA EL FINANCIAMIENTO DEL ESTADO DE HIDALGO,BANORTE,CRÉDITO SIMPLE,04/02/2012,05/21/2012,54560586.7,15614479.66,51,INGRESOS PROPIOS,INVERSIÓN PÚBLICA PRODUCTIVA
SINALOA,NAVOLATO,BANOBRAS,CRÉDITO SIMPLE,05/15/2012,05/22/2012,42185637,32420443.25,120,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
SONORA,NACOZARI DE GARCÍA,BANOBRAS,CRÉDITO SIMPLE,05/15/2012,05/23/2012,8400000,5901452.33,120,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
TAMAULIPAS,REYNOSA,BANORTE,CRÉDITO SIMPLE,04/26/2012,05/24/2012,183988059.73,169706624.63,180,PARTICIPACIONES FEDERALES,REFINANCIAMIENTO
VERACRUZ,GOBIERNO DEL ESTADO,INTERACCIONES,CRÉDITO EN CUENTA CORRIENTE ,05/31/2012,06/01/2012,1500000000,283929484.75,51,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
HIDALGO,SINGUILUCAN,INSTITUTO PARA EL FINANCIAMIENTO DEL ESTADO DE HIDALGO,CRÉDITO SIMPLE,04/02/2012,06/04/2012,4313546,1353296.91,51,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
HIDALGO,PROGRESO DE OBREGÓN,INSTITUTO PARA EL FINANCIAMIENTO DEL ESTADO DE HIDALGO,CRÉDITO SIMPLE,04/02/2012,06/04/2012,4790407,0,51,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
HIDALGO,CARDONAL,INSTITUTO PARA EL FINANCIAMIENTO DEL ESTADO DE HIDALGO,CRÉDITO SIMPLE,04/02/2012,06/04/2012,7045210,2210307,51,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
HIDALGO,EL ARENAL,INSTITUTO PARA EL FINANCIAMIENTO DEL ESTADO DE HIDALGO,CRÉDITO SIMPLE,04/02/2012,06/04/2012,3770978,1183076.04,51,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
